timestep,episode,reward,value_loss
242,1,-75.92581126689922,8.243268438661667
355,2,-59.38513154983518,17.879667342932375
889,3,26.761705708503897,5.810376398899111
997,4,-60.365404558181744,19.983660195562866
1180,5,28.831012773513777,22.272785223285585
1279,6,-29.282831358909625,34.00080302647916
1393,7,-37.93662374019622,23.020925309514606
1547,8,-38.96943776607511,13.840054719716438
1807,9,28.904595112800678,9.934950150875745
1877,10,-36.18779780864715,32.91038049463698
1954,11,-34.8549933195114,25.875011939086733
2059,12,-16.77683570384984,19.424049486155994
2485,13,-91.8831598758701,5.727219227187266
2727,14,-74.03416011333474,7.323008876385189
2895,15,-41.05076594352719,15.627554495029974
2973,16,-52.69482989311217,24.655899105707597
3122,17,-9.42030291557321,12.245745980034842
3221,18,-26.587196993827845,19.875003320160495
3344,19,-13.221959185600355,14.598072805250272
3510,20,16.927546620368872,13.971486450824377
3609,21,-30.01458804607392,17.570040207479096
3817,22,-9.812202525138986,12.68771791520913
3972,23,-5.36933341026316,17.769614163655007
4184,24,44.15519669055962,10.281930066924232
4346,25,-9.396887278556946,12.501594301413908
4461,26,-16.414054179191645,14.673308950707161
4564,27,-26.66246373653415,16.94457952068179
4671,28,-28.06804654598238,17.608465783149096
6671,29,727.3640662431471,0.8027523321904719
7384,30,253.3284491777422,9.156633590785521
9384,31,332.8278952837007,0.6467692498647317
11384,32,121.53339684010419,0.4747909281396479
12740,33,150.0152732133912,2.2337184691668424
12837,34,-19.525152659416236,27.569054639549893
13241,35,88.95493538379768,5.48319200242605
13459,36,-7.738796305656507,13.379969321569886
13735,37,29.038727879524373,10.77353076033621
14111,38,56.17397606372906,5.19408205686401
16111,39,543.7650519609232,0.31832010671781247
16235,40,-29.621569323539777,17.49074904665248
17219,41,263.7016318559652,6.576243262660238
18698,42,413.02147896289046,2.338328839488316
20698,43,782.5828009843569,1.1783499923277831
22035,44,238.6954016923815,2.8942162556374136
24035,45,682.7606421708815,0.5049025980314218
24298,46,-16.08266646862056,8.68125907834803
26298,47,579.048636555652,0.3793090850842914
27358,48,353.41677043437255,2.547522123180599
27460,49,-19.306811785697978,17.344839321123928
27642,50,-38.355224108696056,8.858442407448646
29642,51,798.0706244706805,0.41447277547876277
31642,52,638.4918802976404,0.5746008466032573
33642,53,660.6334143876771,0.49434369933985955
34521,54,230.31334908008319,2.0721301863307584
36473,55,684.2682318925606,1.351767580880138
38473,56,799.8380869626706,0.3637649737628526
40461,57,738.2074076413858,1.1186871921869714
40779,58,-28.28620655536676,4.662799616594312
40893,59,-32.13664834499362,12.36562262603573
41020,60,-29.47039554119113,10.58897607598585
41383,61,84.9231070756922,4.728708764423999
43383,62,826.1043769120863,0.6313030754010533
45383,63,707.3220926522985,0.6312905853524334
45944,64,203.7633582353614,3.652509074089515
47944,65,839.1855841874799,0.4486358585781709
48500,66,127.76412498951134,5.04359443204016
50500,67,765.4590064286899,0.354586672689793
52500,68,913.3998328447054,0.17189081679180526
54500,69,902.1657782792776,0.36640894772483446
56500,70,860.4349738359168,0.16308763870084658
58500,71,538.6902076005691,0.6545630855607178
60500,72,848.667929768533,0.3350339544599119
61606,73,414.8991538286128,1.9894518320075214
62281,74,195.42285869121756,5.452094713133782
63738,75,512.7259040117128,1.2893223646323004
65738,76,775.3285437822072,0.5543573691698912
67738,77,804.4384986161919,0.43770727961681405
69738,78,783.6372596025192,0.30892037884920864
71738,79,905.1670294999784,0.16174687096905838
72284,80,187.9759131670016,3.739701952456396
74284,81,754.7547739743895,0.5233914864674843
76284,82,938.6963874101345,0.5497761769739664
78284,83,852.8026038407972,0.16441662195380924
80284,84,884.155905842752,0.13067495942097593
82284,85,826.3187235593496,0.1976075443221798
83054,86,87.6706588029889,3.8347919771054073
85054,87,718.4814673661947,1.008699094648393
87054,88,914.0837317704859,0.22930840812088718
89054,89,786.3329535722476,0.1907048659293596
89263,90,-42.09856765270243,7.087422938396625
91263,91,624.5556861161989,0.7059424806733423
92297,92,406.1596320390625,3.1048058709922026
94297,93,944.3879157304467,0.3264194525254643
96297,94,895.5761939286898,0.27261108946702733
98297,95,845.9261542558377,0.15658570898798643
98922,96,42.79657433033219,10.977847721831065
100922,97,406.590178608881,0.5418827260757753
102922,98,546.7188483476486,0.4774825300009743
104457,99,543.3286509275279,1.3611797153072025
106457,100,861.3658362626728,0.9097193574975099
108457,101,831.981223225565,0.1872811355518861
110457,102,868.0338507890406,0.20016903849707887
110846,103,63.81006653308921,3.1679719272844737
112846,104,928.1218546628666,0.543724029437908
113823,105,227.70363380909117,1.8316053724955756
115823,106,812.3277503251769,0.25093658007441627
117823,107,691.5381842851398,0.42736324128694103
118685,108,292.54553749560995,2.7305873159504253
119377,109,231.19505074024255,6.22784775726543
121377,110,757.3714667558393,0.3051982551660276
123377,111,851.1526709794741,0.2139330846597004
123981,112,192.13919670582047,13.173063977222114
124120,113,-40.98550622463223,13.691136988081015
125184,114,381.08252937793117,6.150824669760224
125510,115,47.452881932259245,6.162204633997386
127510,116,802.6550120114989,0.5993925173758343
129510,117,644.9878913163869,0.5953693097201467
131510,118,899.0890723466584,0.17925161131069034
132055,119,186.08294365406223,2.2949035457202442
132298,120,48.83504288196592,24.02499832766856
134298,121,882.1303778886496,0.4146066318498415
136298,122,874.909995198219,0.22261636659350187
138298,123,860.4767829179463,0.33290282931704135
140298,124,897.389243245095,0.2059034748524282
142298,125,853.9602118730295,0.21938998401771095
144298,126,859.1788703202909,0.23649979131105647
144730,127,139.31466820240163,4.865193755341284
146730,128,851.3058298825912,0.435982872847675
148185,129,499.2826392412019,1.2908682460172927
150185,130,785.3229743241957,0.31332659887946646
152071,131,793.7883063554509,3.2644699418369387
154071,132,873.8228827714631,0.2886735289086719
156071,133,713.4868079423615,1.1842094152806149
158071,134,895.347083210918,0.2047757033969392
160071,135,929.0118628739995,0.15889463988287025
161479,136,341.88863747118916,1.954851666706919
163479,137,893.5295695066172,0.3977618559979637
165479,138,963.6348181962652,0.29739612503987883
167479,139,890.8027869462684,0.15984176638210193
169479,140,780.6939154863069,0.5321794551763814
171479,141,742.5267249345534,0.32861076880914153
173479,142,811.8882209062295,0.3146947215504115
175479,143,834.4188910722463,0.2715535267027244
177479,144,907.8651648759569,0.3184617643051315
178405,145,331.05074226855874,1.4614935727041911
180405,146,680.8622199296753,0.6289272936742918
182405,147,879.357550740214,0.4785835386074705
182692,148,53.1528373003011,12.596867588664113
182840,149,-8.177522730827427,19.416486353517275
184840,150,878.3638221025178,0.608073715768447
185368,151,176.98458473682587,4.475974620446929
187368,152,841.5152198075964,0.8900854290102798
189368,153,892.3715430497838,0.30416549451389435
191368,154,753.3146125077972,0.4166473842075575
193368,155,986.8756324052496,0.20838761543726286
195368,156,869.3761664628704,0.20353574893029872
197368,157,722.379630207986,0.42300630957814883
